Ticker,Price,Shares,Avg Cost/Share,Day's Gain,Day's Gain (%),Total Gain,Total Gain (%),Yield (%),Market Value,Change,Change (%),Day Low,Day High,52wk Low,52wk High,Market Cap,Volume,Avg Volume,Mkt Time
HNST,3.38,50.0,2.73,1.37,0.00595549,44.738395,0.23966145,0.0,231.41,0.0200002,0.005952450000000001,3.32,3.445,2.07,5.545,3.80162848E8,1718288,1814022.0,1776456001000
ONDS,10.0,20.0,9.292349999999999,-5.48,-0.01961767,18.032931,0.07048875,0.0,273.86,-0.2,-0.019607799999999998,9.77,10.53,0.69,15.28,4.81883392E9,57428361,8.4351577E7,1776456000000
COP-U.TO,11.65,25.0,11.235999999999999,2.05,0.00516685,15.511856,0.040469569999999996,0.0,398.81,0.059999466,0.00517683,11.59,11.65,6.89,13.7,0.0,1757,49985.0,1776455999000
LUNR,27.58,25.0,10.783796,10.26,0.010986419999999998,561.559666,1.4678509199999998,0.0,944.14,0.299999,0.010997,26.73,28.215,6.75,28.215,4.395495424E9,14442498,1.2728229E7,1776456001000
AMZN.NE,28.84,60.0,16.5,9.0,0.0052283,740.4,0.74787879,0.0,1730.4,0.14999962,0.0052282890000000005,28.8,29.45,19.0,29.45,3.628677726208E12,125600,198234.0,1776455971000
VISA.NE,29.16,20.0,23.25,3.0,0.005170630000000001,118.2,0.25419355,0.006999999999999999,583.2,0.14999962,0.0051706176999999996,28.98,29.31,28.27,35.23,8.48341827584E11,6025,31133.0,1776455970000
FBTC.TO,34.95,22.0,43.53909090909091,20.46,0.02733686,-188.96,-0.19727309,0.0,768.9,0.9300003,0.027336870000000003,34.225,35.26,28.13,58.0,0.0,94929,85884.0,1776455999000
META.NE,36.81,15.0,36.32,9.15,0.01685083,7.35,0.01349119,0.003,552.15,0.6100006,0.016850846,36.15,36.92,23.23,40.73,2.417787666432E12,29100,122044.0,1776455765000
MDA.TO,48.15,10.0,34.751999999999995,-3.4,-0.0070117600000000006,133.98,0.38553177,0.0,481.5,-0.34000015,-0.0070117575,47.4,50.98,20.85,50.98,6.632375296E9,1475723,1180336.0,1776456000000
WMT.NE,53.6,16.0,24.23,17.44,0.020757949999999997,469.92,1.21213372,0.0083,857.6,1.0900002,0.020757954000000002,51.99,53.6,34.26,53.6,1.408569704448E12,12211,35925.0,1776455709000
GOOG.NE,54.53,25.0,31.426000000000002,25.75,0.01925234,577.6,0.73518742,0.004,1363.25,1.0299988,0.019252313,53.65,54.54,22.18,54.54,5.3125578752E12,31748,190934.0,1776455970000
L.TO,61.19,10.0,64.84,1.7,0.00278597,-36.5,-0.05629241,0.0092,611.9,0.16999817,0.002785942,60.73,61.62,52.92,69.59,7.1710687232E10,1175725,1413049.0,1776456000000
ENB.TO,72.09,7.0,66.3157142857143,0.7,0.00138908,40.42,0.08707266000000001,0.0538,504.63,0.099998474,0.0013890606,70.69,72.175,59.68,77.18,1.5732465664E11,8246642,8368901.0,1776456000000
ASTS,85.53,10.0,24.72,-74.08,-0.05949054,692.56445,1.44706974,0.0,1171.16,-5.41,-0.059489799999999995,84.91,91.76,20.26,129.89,3.267480576E10,19636331,1.431714E7,1776456001000
DUOL,100.51,2.0,171.21875,-8.05,-0.02841511,-198.267884,-0.41870663999999996,0.0,275.25,-2.93999,-0.0284195,99.81,107.28,87.89,544.93,4.718973952E9,2122698,2654587.0,1776456001000
NLR,145.96,2.0,144.67,1.4,0.0035146699999999997,5.187819,0.01314909,0.024,399.73,0.51001,0.0035064299999999996,145.2,149.23,71.19,168.12,0.0,552224,564983.0,1776456000000
DOL.TO,176.51,4.0,183.21125,13.08,0.01887555,-26.805,-0.03657663,0.0027,706.04,3.269989,0.018875486,173.81,177.15,160.39,209.96,4.8139702272E10,509266,746412.0,1776456000000
MSFT,422.79,1.0,427.42999,3.46,0.00601248,0.181866,3.1424000000000003E-4,0.0086,578.93,2.53,0.00602008,420.69,431.58,355.67,555.45,3.142335070208E12,47754221,3.7843451E7,1776456000000
